"id","name","region","postCode","phoneCode"
212,Сливо поле,Русе,7060,8131
213,Смолян,Смолян,4700,301
214,Смядово,Шумен,9820,5351
215,Созопол,Бургас,8130,550
216,Сопот,Пловдив,4330,3134
217,София,София град,1000,2
218,Средец,Бургас,8300,5551
219,Стамболийски,Пловдив,4210,339
220,Стара Загора,Стара Загора,6000,42
221,Стражица,Велико Търново,5150,6161
222,Стралджа,Ямбол,8680,4761
223,Стрелча,Пазарджик,4530,3532
224,Суворово,Варна,9170,5153
225,Сунгурларе,Бургас,8470,5571
226,Сухиндол,Велико Търново,5240,6136
227,Съединение,Пловдив,4190,3181
228,Сърница,Пазарджик,4633,3547
229,Твърдица,Сливен,8890,454
230,Тервел,Добрич,9450,5751
231,Тетевен,Ловеч,5700,678
232,Тополовград,Хасково,6560,470
233,Троян,Ловеч,5600,670
234,Трън,Перник,2460,7731
235,Тръстеник,Плевен,5857,6551
236,Трявна,Габрово,5350,677
237,Тутракан,Силистра,7600,857
238,Търговище,Търговище,7700,601
239,Угърчин,Ловеч,5580,6931
240,Хаджидимово,Благоевград,2933,7528
241,Харманли,Хасково,6450,373
242,Хасково,Хасково,6300,38
243,Хисаря,Пловдив,4180,337
244,Цар Калоян,Разград,7280,8314
245,Царево,Бургас,8260,590
246,Чепеларе,Смолян,4850,3051
247,Червен бряг,Плевен,5980,659
248,Черноморец,Бургас,8142,550
249,Чипровци,Монтана,3460,9554
250,Чирпан,Стара Загора,6200,416
251,Шабла,Добрич,9680,5743
252,Шивачево,Сливен,8895,4593
253,Шипка,Стара Загора,6150,4324
254,Шумен,Шумен,9700,54
255,Ябланица,Ловеч,5750,6991
256,Якоруда,Благоевград,2790,7442
257,Ямбол,Ямбол,8600,46
